學年度,縣市別,幼兒園,國小,國中,高級中等學校-普通科,高級中等學校-專業(職業)群科,高級中等學校-綜合高中,高級中等學校-實用技能學程,高級中等學校-進修部(學校),大專校院(全部計入校本部),大專校院(跨縣市教學計入所在地縣市),宗教研修學院,國民補習及大專進修學校及空大,特殊教育學校
106,新北市,81348,192321,100608,40999,37328,5581,917,5336,151475,145054,116,16615,385
106,臺北市,52253,115679,66746,58742,35058,4072,377,5448,263668,241829,81,8120,779
106,桃園市,51322,122590,67375,29822,35420,3032,4770,5965,102983,114101,0,2633,450
106,臺中市,77619,150412,85244,37962,50784,2020,3836,6211,188641,188114,0,9450,897
106,臺南市,46663,87329,50556,25817,22075,4418,4007,2540,124447,126610,0,1397,482
106,高雄市,56968,125900,72395,35657,38273,3347,5579,3557,144540,149969,72,8142,673
106,宜蘭縣,10639,21563,14108,6290,4513,1306,673,529,13546,16707,0,806,116
106,新竹縣,16035,35578,17398,5351,5436,1431,869,1241,15259,20942,0,561,235
106,苗栗縣,11727,27602,15835,6216,7835,1552,1221,934,19806,19674,0,425,135
106,彰化縣,26724,62830,37275,12119,18398,4270,2726,3397,35163,35166,0,1099,565
106,南投縣,10345,23221,14436,4525,8302,623,1114,679,11578,11578,28,530,145
106,雲林縣,13617,32410,21017,7949,8666,1577,1451,667,25198,25932,0,1066,197
106,嘉義縣,8649,19569,12207,2732,4964,495,1583,502,24088,29101,0,886,0
106,屏東縣,15592,35645,22574,9068,9114,964,698,1105,39787,39639,0,1494,189
106,臺東縣,4643,10385,6303,563,2543,2635,188,257,5860,5997,0,28,114
106,花蓮縣,7017,15363,9614,4047,3875,2185,28,538,18762,18819,0,256,158
106,澎湖縣,1766,3524,2362,970,1588,0,64,0,3008,3008,0,18,0
106,基隆市,6909,15944,9635,4696,5852,349,412,437,15211,15211,0,2208,131
106,新竹市,13284,29635,15414,9300,5680,3397,559,1518,48359,47203,0,280,0
106,嘉義市,6466,15068,9996,6407,8940,1371,1922,693,18014,14659,0,230,302
106,金門縣,2026,3619,1948,1007,1005,0,47,52,4501,4562,0,0,0
106,連江縣,292,474,227,0,0,304,0,0,0,19,0,0,0
