學年度,縣市別,幼兒園,國小,國中,高級中等學校-普通科,高級中等學校-專業群科,高級中等學校-綜合高中,高級中等學校-實用技能學程,高級中等學校-進修部,大專校院(全部計入校本部),大專校院(跨縣市教學計入所在地縣市),宗教研修學院,國民補習及大專進修學校及空大,特殊教育學校
109,新北市,89211,199521,92271,36692,28494,4259,516,3514,139130,133358,74,17165,260
109,臺北市,58312,122605,65349,55247,24765,2264,328,3646,256492,239317,154,4010,633
109,桃園市,61674,128242,62781,28861,28965,1269,3538,3496,100402,111374,0,1409,384
109,臺中市,84021,156584,79598,36000,35898,1680,5002,4219,186976,186543,0,6087,655
109,臺南市,49113,90522,46886,22560,16556,2453,2897,1689,111807,112370,75,819,391
109,高雄市,63771,127298,66052,31908,32132,1033,3562,2256,137812,142353,178,5159,535
109,宜蘭縣,11549,21737,11869,5520,4016,988,566,481,11674,14166,0,427,91
109,新竹縣,18473,37672,17130,4971,4884,851,780,729,12657,16589,0,187,192
109,苗栗縣,14077,27698,14088,5921,6148,720,946,655,18036,17809,0,221,105
109,彰化縣,32060,61453,31796,10988,15106,3324,2598,1737,28036,28036,0,455,498
109,南投縣,11741,22273,12183,3646,6155,913,636,512,9771,9771,69,220,114
109,雲林縣,15183,30472,18282,7091,6310,1116,1228,469,24519,25319,0,435,187
109,嘉義縣,9397,17770,9990,2682,3212,197,850,218,25456,29682,0,118,0
109,屏東縣,17983,34316,18930,7907,6302,649,483,722,35511,35454,0,683,163
109,臺東縣,4923,9859,5592,592,2457,1867,167,199,5980,5953,0,28,104
109,花蓮縣,7601,15194,8248,3696,3356,1212,14,419,17821,17714,0,192,110
109,澎湖縣,1848,3446,1902,818,1283,0,47,0,3047,3047,0,33,0
109,基隆市,8009,15691,8368,3338,3956,240,271,332,15735,15735,0,261,119
109,新竹市,14728,32372,15650,8807,6680,1373,492,1106,45641,44392,0,154,0
109,嘉義市,7237,14846,8710,6177,6906,796,1706,373,12826,10221,0,95,218
109,金門縣,2202,3808,1854,941,911,0,0,50,4131,4213,0,0,0
109,連江縣,293,493,257,0,0,237,0,0,0,44,0,0,0
