"學年度","縣市別","幼兒園","國小","國中","高級中等學校-普通科","高級中等學校-專業群科","高級中等學校-綜合高中","高級中等學校-實用技能學程","高級中等學校-進修部","大專校院(全部計入校本部)","大專校院(跨縣市教學計入所在地縣市)","宗教研修學院","國民補習及大專進修學校及空大","特殊教育學校"
110,新北市,88778,202529,91044,36286,27493,4080,403,3135,135995,130782,65,16922,262
110,臺北市,57492,125093,65268,54449,22915,1942,360,3373,250939,239082,165,3421,587
110,桃園市,62155,131258,62184,28842,27813,922,3225,3082,99535,110565,18,1203,353
110,臺中市,82579,160242,78320,35832,33498,1509,5328,3795,187115,186634,0,4737,635
110,臺南市,49071,91967,46589,22150,15877,2340,2637,1595,108005,108508,73,729,387
110,高雄市,65003,128846,64368,31497,30510,1052,3279,2098,136309,140652,150,5263,499
110,宜蘭縣,11578,21720,11620,5346,3938,933,521,459,11076,13022,0,312,91
110,新竹縣,18949,38429,17235,4993,4709,832,829,690,11956,15458,0,148,195
110,苗栗縣,14072,28275,13787,5967,5755,498,802,602,17825,17633,0,175,105
110,彰化縣,31533,61364,30638,10593,14115,3062,2428,1482,25049,25049,0,381,496
110,南投縣,11684,22481,11549,3413,5517,1043,574,486,9477,9477,89,205,111
110,雲林縣,15011,30256,17466,6900,5978,978,1153,399,24124,24936,0,269,180
110,嘉義縣,9198,17571,9219,2652,2692,74,657,138,24808,28824,0,92,0
110,屏東縣,18038,34546,17910,7705,5825,642,398,621,34038,33925,0,378,156
110,臺東縣,4937,9768,5322,577,2341,1786,151,160,6095,6105,0,19,99
110,花蓮縣,7687,15242,8045,3608,3276,987,16,374,17714,17588,0,171,103
110,澎湖縣,1853,3485,1810,776,1189,0,41,0,3063,3063,0,30,0
110,基隆市,7961,15795,8125,3255,3598,195,156,274,15000,15000,0,231,107
110,新竹市,14554,33197,15841,8654,6983,972,452,937,50745,44811,0,122,0
110,嘉義市,7302,14883,8456,6038,6502,600,1594,375,12747,10384,0,78,207
110,金門縣,2194,3878,1871,940,828,0,0,46,4215,4284,0,0,0
110,連江縣,292,492,247,0,0,232,0,0,0,48,0,0,0
